class	representative_genome_id
0-14-0-80-59-12	GB_GCA_002779395.1
2-12-FULL-45-22	GB_GCA_001803565.1
32-111	GB_GCA_001508335.1
4484-107	GB_GCA_002059205.1
4484-113	GB_GCA_002050035.1
4572-55	GB_GCA_002084765.1
9FT-COMBO-42-15	GB_GCA_001803815.1
AABM5-125-24	GB_GCA_002127415.1
AB16	GB_GCA_001509335.1
AC-67	GB_GCA_005883175.1
AC1	GB_GCA_001777915.1
ARS69	GB_GCA_020431545.1
AUK180	GB_GCA_021162505.1
Abditibacteriia	GB_GCA_001872605.1
Acidimicrobiia	GB_GCA_000817085.1
Actinomycetes	GB_GCA_000014925.1
Aerophobia	GB_GCA_000402295.1
Alphaproteobacteria	GB_GCA_000012145.1
Aminicenantia	GB_GCA_000493965.1
Anaeroferrophillalia	GB_GCA_011042595.1
Anaerolineae	GB_GCA_001508595.1
Andersenbacteria	GB_GCA_001817055.1
Aquicultoria	GB_GCA_001767575.1
Aquificia	GB_GCA_002341805.1
Arandabacteria	GB_GCA_023132135.1
Armatimonadia	GB_GCA_003134215.1
Auribacteria	GB_GCA_003599815.1
B129-G9	GB_GCA_003644325.1
B13-G15	GB_GCA_001797745.1
B130-G9	GB_GCA_003647755.1
B143-G9	GB_GCA_003644275.1
B15-G4	GB_GCA_009691715.1
B3-B38	GB_GCA_005223145.1
B3-LCP	GB_GCA_003599535.1
B62-G9	GB_GCA_003645695.1
B64-G9	GB_GCA_003647095.1
BMS3Abin14	GB_GCA_002897695.1
BSN033	GB_GCA_001798855.1
Bacilli	GB_GCA_000069925.1
Bacteriovoracia	GB_GCA_001769855.1
Bacteroidia	GB_GCA_000023725.1
Bdellovibrionia	GB_GCA_000525675.1
Binatia	GB_GCA_001798455.1
Bipolaricaulia	GB_GCA_001508155.1
Blakebacteria	GB_GCA_025774205.1
Blastocatellia	GB_GCA_001464455.1
Brachyspiria	GB_GCA_008016535.1
Bradymonadia	GB_GCA_002309015.1
Brevinematia	GB_GCA_001829395.1
Brocadiia	GB_GCA_000296795.1
CADAWZ01	GB_GCA_024409025.1
CADDZG01	GB_GCA_009377815.1
CADDZV01	GB_GCA_902812875.1
CAIJMQ01	GB_GCA_013152825.1
CAIWAD01	GB_GCA_016784425.1
CAIWXX01	GB_GCA_016191015.1
CAJVYJ01	GB_GCA_030597945.1
CAJXCL01	GB_GCA_036011265.1
CAKKQC01	GB_GCA_023265785.1
CALGFH01	GB_GCA_030146615.1
CALINM01	GB_GCA_026415985.1
CALKMS01	GB_GCA_015711795.1
CALLYA01	GB_GCA_937875495.1
CG03	GB_GCA_002779055.1
CG2-30-40-21	GB_GCA_001873945.1
CG2-30-53-67	GB_GCA_001873285.1
CG2-30-70-394	GB_GCA_001873295.1
CLD3	GB_GCA_008501735.1
CSSED10-310	GB_GCA_003558985.1
Caldisericia	GB_GCA_001871575.1
Calditrichia	GB_GCA_001771055.1
Calescibacteriia	GB_GCA_000494225.1
Campylobacteria	GB_GCA_000163995.1
Ch66	GB_GCA_012512295.1
Chitinivibrionia	GB_GCA_001045525.1
Chlamydiia	GB_GCA_000756735.1
Chlorobiia	GB_GCA_000724175.1
Chloroflexia	GB_GCA_000018565.1
Chrysiogenetes	RS_GCF_000177635.2
Chthonomonadetes	GB_GCA_009885735.1
Cloacimonadia	GB_GCA_000404785.1
Clostridia	GB_GCA_000146855.1
Coprothermobacteria	GB_GCA_003476705.1
Coriobacteriia	GB_GCA_000333815.1
Cyanobacteriia	GB_GCA_000063505.1
D2-FULL-39-29	GB_GCA_001778355.1
DAOPZR01	GB_GCA_035353495.1
DAOVCL01	GB_GCA_029932675.1
DAOVTB01	GB_GCA_030633305.1
DAOWNY01	GB_GCA_030642325.1
DASRZA01	GB_GCA_035686845.1
DASVDK01	GB_GCA_036381125.1
DASWHO01	GB_GCA_036398155.1
DASYRF01	GB_GCA_036004705.1
DATKYB01	GB_GCA_035528715.1
DG-23	GB_GCA_001302825.1
DG-26	GB_GCA_001303705.1
DG-26_A	GB_GCA_001304015.1
DRYD01	GB_GCA_025057615.1
DSM-12270	GB_GCA_001508855.1
DSM-16504	GB_GCA_001515945.1
DSM-4660	GB_GCA_000179315.1
DSWW01	GB_GCA_015486285.1
DTGP01	GB_GCA_019348365.1
DTOL01	GB_GCA_016208345.1
DTPJ01	GB_GCA_011334435.1
DTU030	GB_GCA_001513125.1
DTU086	GB_GCA_001508005.1
DTXE01	GB_GCA_012962595.1
DULZ01	GB_GCA_012512955.1
DUMJ01	GB_GCA_012839925.1
DUSP01	GB_GCA_012842575.1
DVGY01	GB_GCA_020724425.1
DYFQ01	GB_GCA_020725105.1
DYIH01	GB_GCA_020723725.1
DYIV01	GB_GCA_020723435.1
DYJV01	GB_GCA_020722945.1
DYNZ01	GB_GCA_020720805.1
Deferribacteres	GB_GCA_001603805.1
Deferrimicrobia	GB_GCA_001443455.1
Deferrisomatia	GB_GCA_002869005.1
Dehalobacteriia	GB_GCA_002382665.1
Dehalococcoidia	GB_GCA_000143165.1
Deinococci	GB_GCA_001311585.1
Desulfarculia	GB_GCA_001184205.1
Desulfitobacteriia	GB_GCA_000770645.1
Desulfobaccia	GB_GCA_002049795.1
Desulfobacteria	GB_GCA_000961655.1
Desulfobulbia	GB_GCA_000769715.1
Desulfofervidia	GB_GCA_021163945.1
Desulfomonilia	GB_GCA_001896555.1
Desulfotomaculia	GB_GCA_000010565.1
Desulfovibrionia	GB_GCA_000226255.2
Desulfurellia	GB_GCA_000517565.1
Desulfuromonadia	GB_GCA_001628815.1
Dethiobacteria	GB_GCA_001512835.1
Dictyoglomia	GB_GCA_002878375.1
Dissulfuribacteria	GB_GCA_002367355.1
Dojkabacteria	GB_GCA_000989675.1
Dormibacteria	GB_GCA_001917815.1
E44-bin39	GB_GCA_004376375.1
E44-bin80	GB_GCA_004375785.1
Electryoneia	GB_GCA_014729955.1
Elusimicrobia	GB_GCA_001799565.1
Endomicrobiia	GB_GCA_001800285.1
Entotheonellia	GB_GCA_000522425.1
Erginobacteria	GB_GCA_003551625.1
FAC87	GB_GCA_002342225.1
FW602-bin22	GB_GCA_004297775.1
Fermentibacteria	GB_GCA_001618615.1
Fermentithermobacillia	GB_GCA_001513185.1
Fibrobacteria	GB_GCA_001462225.1
Fimbriimonadia	GB_GCA_001442985.1
Fusobacteriia	GB_GCA_000182945.1
G020348925	GB_GCA_020348925.1
G020349885	GB_GCA_020349885.1
GBS-1	GB_GCA_001443005.1
GCA-001730085	GB_GCA_001730085.1
GCA-002687715	GB_GCA_002683135.1
GCA-003054495	GB_GCA_021848765.1
GCA-2686955	GB_GCA_002686955.1
GCA-2746535	GB_GCA_002746535.1
GWA2-38-11	GB_GCA_001790645.1
GWC2-55-46	GB_GCA_001595385.3
GWE2-31-10	GB_GCA_001829125.1
Gammaproteobacteria	GB_GCA_000008885.1
Gemmatimonadetes	GB_GCA_001724275.1
Geothermincolia	GB_GCA_001767605.1
Glassbacteria	GB_GCA_001780825.1
Gracilibacteria	GB_GCA_000989565.1
HKB111	GB_GCA_018725125.1
HRBIN11	GB_GCA_001780385.1
HRBIN16	GB_GCA_002898895.1
HRBIN17	GB_GCA_002898575.1
Halanaerobiia	GB_GCA_001512435.1
Hebobacteria	GB_GCA_011773575.1
Hinthialibacteria	GB_GCA_001567115.1
Holophagae	GB_GCA_002068835.1
